100,6,6,7,  10,13,20
200,8,8,9,  14,17,24
300,8,8,9,  18,21,30
400,9,9,10,  20,25,37
500,9,9,10,  22,31,45
600,10,10,11,  27,37,51
700,10,10,11,  29,41,53
800,10,10,11,  35,47,63
900,10,10,11,  36,53,65
1000,10,10,11,  47,58,79
1100,11,11,11,  41,64,80
1200,11,11,12,  57,70,89
1300,11,11,12,  59,77,93
1400,11,11,12,  62,81,102
1500,11,11,12,  69,87,109
1600,11,11,12,  74,92,112
1700,12,12,12,  73,96,114
1800,11,11,12,  83,103,126
1900,12,12,12,  90,111,138
2000,12,12,13,  96,116,136
2100,12,12,13,  99,120,141
2200,12,12,13,  111,128,152
2300,12,12,13,  114,134,163
2400,12,12,13,  117,138,166
2500,12,12,13,  118,144,176
2600,12,12,13,  127,149,172
2700,12,12,13,  134,154,180
2800,12,12,13,  133,157,181
2900,12,12,13,  143,168,199
3000,12,12,13,  146,170,200
N	  |	avlMin	avlAvg	avlMax	  |	bstMin	bstAvg	bstMax
